"Token","State","Element","Design Attribute","Role","Value"
"md.comp.checkbox.enabled.container.width","1. Enabled","Container","Width","-","18dp"
"md.comp.checkbox.enabled.container.height",,,"Height","-","18dp"
"md.comp.checkbox.enabled.container.shape",,,"Shape","-","2dp"
"md.comp.checkbox.enabled-unselected.container.outline-color",,"Container (unselected)","Outline color","On surface","md.sys.color.on-surface"
"md.comp.checkbox.enabled-unselected.container.outline-width",,,"Outline width","-","2dp"
"md.comp.checkbox.enabled-selected.container.color",,"Container (selected)","Color","Primary","md.sys.color.primary"
"md.comp.checkbox.enabled-selected.container.outline-width",,,"Outline width","-","0dp"
"md.comp.checkbox.enabled.icon.size",,"Icon","Size","-","18dp"
"md.comp.checkbox.enabled-selected.icon.color",,"Icon (selected)","Color","On primary","md.sys.color.on-primary"
"md.comp.checkbox.error-enabled-unselected.container.outline-color",,"Container (unselected,error)","Outline color","Error","md.sys.color.error"
"md.comp.checkbox.error-enabled-selected.container.color",,"Container (selected,error)","Color","Error","md.sys.color.error"
"md.comp.checkbox.error-enabled-selected.icon.color",,"Icon (selected,error)","Color","On error","md.sys.color.on-error"
"md.comp.checkbox.enabled.state-layer.size",,"State - Layer","Size","-","40dp"
"md.comp.checkbox.enabled.state-layer.shape",,,"Shape","Full","md.sys.shape.corner.full"
"md.comp.checkbox.disabled-unselected.container.outline-color","2. Disabled","Container (unselected)","Outline color","On surface","md.sys.color.on-surface"
"md.comp.checkbox.disabled-unselected.container.outline-width",,,"Outline width","-","2dp"
"md.comp.checkbox.disabled-unselected.container.opacity",,,"Opacity","-","38%"
"md.comp.checkbox.disabled-selected.container.color",,"Container (selected)","Color","On surface","md.sys.color.on-surface"
"md.comp.checkbox.disabled-selected.container.opacity",,,"Opacity","-","38%"
"md.comp.checkbox.disabled-selected.container.outline-width",,,"Outline width","-","0dp"
"md.comp.checkbox.disabled-selected.icon.color",,"Icon (selected)","Color","Surface","md.sys.color.surface"
"md.comp.checkbox.hovered-selected.state-layer.color","3. Hovered","State Layer (selected)","Color","Primary","md.sys.color.primary"
"md.comp.checkbox.hovered-selected.state-layer.opacity",,,"Opacity","State layer opacity","md.sys.state.hover.state-layer-opacity"
"md.comp.checkbox.hovered-unselected.state-layer.color",,"State Layer (unselected)","Color","On surface","md.sys.color.on-surface"
"md.comp.checkbox.hovered-unselected.state-layer.opacity",,,"Opacity","State layer opacity","md.sys.state.hover.state-layer-opacity"
"md.comp.checkbox.hovered-unselected.container.outline-color",,"Container (unselected)","Outline color","On surface","md.sys.color.on-surface"
"md.comp.checkbox.hovered-unselected.container.outline-width",,,"Outline width","-","2dp"
"md.comp.checkbox.hovered-selected.container.color",,"Container (selected)","Color","Primary","md.sys.color.primary"
"md.comp.checkbox.hovered-selected.container.outline-width",,,"Outline width","-","0dp"
"md.comp.checkbox.hovered-selected.icon.color",,"Icon (selected)","Color","On primary","md.sys.color.on-primary"
"md.comp.checkbox.error-hovered.state-layer.color",,"State Layer (error)","Color","Error","md.sys.color.error"
"md.comp.checkbox.error-hovered.state-layer.opacity",,,"Opacity","State layer opacity","md.sys.state.hover.state-layer-opacity"
"md.comp.checkbox.error-hovered-unselected.container.outline-color",,"Container (unselected,error)","Outline color","Error","md.sys.color.error"
"md.comp.checkbox.error-hovered-unselected.container.outline-width",,,"Outline width","-","2dp"
"md.comp.checkbox.error-hovered-selected.container.color",,"Container (selected,error)","Color","Error","md.sys.color.error"
"md.comp.checkbox.error-hovered-selected.container.outline-width",,,"Outline width","-","0dp"
"md.comp.checkbox.error-hovered-selected.icon.color",,"Icon (selected,error)","Color","On error","md.sys.color.on-error"
"md.comp.checkbox.focused.state-layer.color","4. Focused","State Layer","Color","Primary","md.sys.color.primary"
"md.comp.checkbox.focused.state-layer.opacity",,,"Opacity","State layer opacity","md.sys.state.focus.state-layer-opacity"
"md.comp.checkbox.focused-unselected.state-layer.color",,"State Layer (unselected)","Color","On surface","md.sys.color.on-surface"
"md.comp.checkbox.focused-unselected.state-layer.opacity",,,"Opacity","State layer opacity","md.sys.state.focus.state-layer-opacity"
"md.comp.checkbox.focused-unselected.container.outline-color",,"Container (unselected)","Outline color","On surface","md.sys.color.on-surface"
"md.comp.checkbox.focused-unselected.container.outline-width",,,"Outline width","-","2dp"
"md.comp.checkbox.focused-selected.container.color",,"Container (selected)","Color","Primary","md.sys.color.primary"
"md.comp.checkbox.focused-selected.container.outline-width",,,"Outline width","-","0dp"
"md.comp.checkbox.focused-selected.icon.color",,"Icon (selected)","Color","On primary","md.sys.color.on-primary"
"md.comp.checkbox.error-focused.state-layer.color",,"State Layer (error)","Color","Error","md.sys.color.error"
"md.comp.checkbox.error-focused-unselected.container.outline-color",,"Container (unselected,error)","Outline color","Error","md.sys.color.error"
"md.comp.checkbox.error-focused-unselected.container.outline-width",,,"Outline width","-","2dp"
"md.comp.checkbox.error-focused-selected.container.color",,"Container (selected,error)","Color","Error","md.sys.color.error"
"md.comp.checkbox.error-focused-selected.container.outline-width",,,"Outline width","-","0dp"
"md.comp.checkbox.error-focused-selected.icon.color",,"Icon (selected,error)","Color","On error","md.sys.color.on-error"
"md.comp.checkbox.pressed-unselected.state-layer.color","5. Pressed","State Layer (unselected)","Color","Primary","md.sys.color.primary"
"md.comp.checkbox.pressed-unselected.state-layer.opacity",,,"Opacity","State layer opacity","md.sys.state.pressed.state-layer-opacity"
"md.comp.checkbox.pressed-unselected.container.outline-color",,"Container (unselected)","Outline color","On surface","md.sys.color.on-surface"
"md.comp.checkbox.pressed-unselected.container.outline-width",,,"Outline width","-","2dp"
"md.comp.checkbox.pressed-selected.state-layer.color",,"State Layer (selected)","Color","On surface","md.sys.color.on-surface"
"md.comp.checkbox.pressed-selected.state-layer.opacity",,,"Opacity","State layer opacity","md.sys.state.pressed.state-layer-opacity"
"md.comp.checkbox.pressed-selected.container.color",,"Container (selected)","Color","Primary","md.sys.color.primary"
"md.comp.checkbox.pressed-selected.container.outline-width",,,"Outline width","-","0dp"
"md.comp.checkbox.pressed-selected.icon.color",,"Icon (selected)","Color","On primary","md.sys.color.on-primary"
"md.comp.checkbox.error-pressed.state-layer.color",,"State Layer (error)","Color","Error","md.sys.color.error"
"md.comp.checkbox.error-pressed.state-layer.opacity",,,"Opacity","State layer opacity","md.sys.state.pressed.state-layer-opacity"
"md.comp.checkbox.error-pressed-unselected.container.outline-color",,"Container (unselected,error)","Outline color","Error","md.sys.color.error"
"md.comp.checkbox.error-pressed-unselected.container.outline-width",,,"Outline width","-","2dp"
"md.comp.checkbox.error-pressed-selected.container.color",,"Container (selected,error)","Color","Error","md.sys.color.error"
"md.comp.checkbox.error-pressed-selected.container.outline-width",,,"Outline width","-","0dp"
"md.comp.checkbox.error-pressed-selected.icon.color",,"Icon (selected,error)","Color","On error","md.sys.color.on-error"