"Token","Element","Attribute","Role","Value"
"md.comp.rich-tooltip.container.color","Container","Color","Surface container","md.sys.color.surface-container"
"md.comp.rich-tooltip.container.elevation",,"Elevation","Level 2","md.sys.elevation.level2"
"md.comp.rich-tooltip.container.shadow-color",,"Shadow color","Shadow","md.sys.color.shadow"
"md.comp.rich-tooltip.container.shape",,"Shape","Medium","md.sys.shape.corner.medium"
"md.comp.rich-tooltip.subhead.font","Subhead","Font","Title small","md.sys.typescale.title-small.font"
"md.comp.rich-tooltip.subhead.line-height",,"Line height","Title small","md.sys.typescale.title-small.line-height"
"md.comp.rich-tooltip.subhead.size",,"Size","Title small","md.sys.typescale.title-small.size"
"md.comp.rich-tooltip.subhead.weight",,"Weight","Title small","md.sys.typescale.title-small.weight"
"md.comp.rich-tooltip.subhead.tracking",,"Tracking","Title small","md.sys.typescale.title-small.tracking"
"md.comp.rich-tooltip.subhead.color",,"Color","On surface variant","md.sys.color.on-surface-variant"
"md.comp.rich-tooltip.supporting-text.font","Supporting text","Font","Body medium","md.sys.typescale.body-medium.font"
"md.comp.rich-tooltip.supporting-text.line-height",,"Line height","Body medium","md.sys.typescale.body-medium.line-height"
"md.comp.rich-tooltip.supporting-text.size",,"Size","Body medium","md.sys.typescale.body-medium.size"
"md.comp.rich-tooltip.supporting-text.weight",,"Weight","Body medium","md.sys.typescale.body-medium.weight"
"md.comp.rich-tooltip.supporting-text.tracking",,"Tracking","Body medium","md.sys.typescale.body-medium.tracking"
"md.comp.rich-tooltip.supporting-text.color",,"Color","On surface variant","md.sys.color.on-surface-variant"